,date,content,label
0,2019-07-03,seyahat konfor artır çalış sür versace özel ol tasarla yeni set erkek kadın yolcu ihtiyaç göre ayrı hazırla koleksiyon belirgin özellik ol plan çık fark renk temin et çanta şık fonksiyonel tasarım yolcu sonra kullanım cazip kıl çanta içeri özel bir bölme yer al nem kozmetik ürün uzun seyahat süre yolcu rahat bir yolcu geçir katkı bulun ekonomi sınıf seyahat et misafir gün itibar yeni seyahat set sun başla akıl özgün tasarım saye merak dinamik gezgin yenilik işlev çözüm getir ünle mandarina duck tasarım ol kıtalararası uç ekonomi sınıf sun ol konfor set göz bant çorap kulak tıkaç dudak nem diş fırça diş macun yer al yolcu doğal içerik kalite dermokozmetik ürün sun göster havayolu yeni seyahat set yıl dayan kök geçmiş doğal içerik atelier rebul ürün yer ver mevcut durum uçak ekonomi sınıf lavabo yer al marka seyahat set cilt bakım ürün ol dudak nem sun,1.0
1,2019-07-03,aç gün beri hız büyü istanbul havalimanı nisa tarih ara toplam bin uç gerçek türkiye büyük proje ol istanbul havalimanı sadece uç değil yolcu rekoruda kır nisa dan bugün kadar hat dış hat ol üzere toplam bin uç milyon bin yolcu istanbul havalimanı nı kullan türkiye havacılık küresel ölçek büyük proje ol sadece istanbul ülke değil bölge dünya nezit bir çekim nokta ol misyon taşı istanbul havalimanı yolcu sayı art göz dol tarih ara toplam milyon bin yolcu istanbul havalimanı kullan rakam geç yıl aynı dönem atatürk havalimanı kullan yolcu sayı oran yüksek istanbul havalimanı tam kapasite hizmet ver başla nisa dan bugün kadar hat dış hat ol üzere toplam milyon bin yolcu kullan yolcu dağılım bak uluslararası uç milyon bin yolcu hat milyon bin yolcu havalimanı uç gör yıllık milyon yolcu kapasite yolcu misafir et dünya yeni havacılık merkez istanbul havalimanı faz tamamla yıl milyon yolcu hizmet ver,1.0
2,2019-06-21,"istanbul seçim yap tarih uç iptal ettiğinine ilişkin haber yalanla gel basın müşavir üst tarafından sosyal medya hesap tarih ara istanbul kalk var sefer herhangi bir iptal ol bin yolcu misafir et yer al iptal haber doğru değil açıkla yap istanbul seçim yap gün ol tarih uç bil iptal et yön haber basın yayın organ çık üzeri açıkla gel ad basın müşavir üstün sosyal medya hesap açıkla yap tarih ara herhangi bir iptal ol söyle üstün açıkla şöyle tarih ara istanbul kalk var sefer herhangi bir iptal ol bin yolcu misafir et yer al iptal haber doğru değil uç birleş söz konu ol hiçbir misafir mağduriyet yaşa önlem al yenile istanbul büyükşehir belediye seçim önce operasyon hız kes devam et """"""",2.0
3,2019-05-29,yönetim kurul yıl hesap faaliyet ilişkin olağan genel kurul toplantı önce ilan et gün saat yerine gün saat aşağı yazılı gündem görüş karar bağla üzere hissedar ortaklık yeşilköy mahallesi havaalanı cad bakırköyistanbul adres genel yönetim bina vip toplantı salon toplantı davet ederspanpppppdivtdtrtbodytable yukarı açıkla sermaye piyasa kurulu yürürlük özel durum tebliğ yer al esas uygun ol konudakonularda taraf ulaş bilgi tam ol yansı bilgi defter kayıt belge uygun ol konu ilgili bilgi tam doğru ol el et gerekli çaba göster yap açıkla sorum ol beyan et,1.0
4,2019-05-06,uluslararası transit yolcu havalimanı bekle süre fayda değer amaç ücret istanbul boğaz tur hizmet ver başla asya avrupa kıta buluş istanbul dünya ülke uç alan rekor el bulun istanbul dünya tanı nokta yeni bir uygula hayat geçir kapsam bayrak taşı havayolu şirket touristanbul proje kapsam uluslararası transit yolcu sun ücret şehir tur itibaren tekne boğaz tur yap imkan sun başla gece geç saat uç ol yolcu akşam saat ara düzenle tur istanbul boğaz tur kat yolcu iki uç ara süre istanbul gez istanbul havalimanı saat ara bağlantı süre ol yolcu düzenle ücret şehir tur saye yolcu iki uç ara istanbul tarih kültürel değer tanı şans bul istanbul havalimanı touristanbul araç alın yolcu rehber eş istanbul tur sonra uç yeniden havalimanı getir gün düzenle fark tura yolcu uç saat uygun ol tercih et katıl sultanahmet camii ayasofya topkapı saray islam bilim teknoloji müze kültürel değer yolcu büyük ilgi gör talep rusya abd italya yolcu yıl gün gün düzen fark program devam et tur yıl bin transit yolcu istanbul fark nokta keşfet ilk yıl hizmet ver başla tur yıl toplam bin yolcu kat yıl hedefle sayı bin yolcu ulaş geç yıl fark ülke vatandaş touristanbul ayrıcalık istanbul keşfet ülke baz talep bin yolcu rusya gel rusya bin yolcu abd bin yolcu italya takip ettti turizm sağla katkı vurgu yıl bin yolcu proje faydalan ifade et touristanbul koordinatör yor talep geçen gün art dikkat çek touristanbul yıl yan uluslararası transit yolcu ver bir ücret istanbul gezi tur program kapsam gün sefer başla program zaman içeri art şua ol devam et yıl yıllık bin yolcu hizmet fayda yıl gel aylık bin yolcu sayı ulaş yıl bin yolcu istanbul tarih turistik güzel tanış fırsat bul boğaz tur uzun gece uç bağlantı süre ol yolcu istanbul bekle esna tarih boğaz güzel bir ara yaşa maksat oluş itibari başla kadar sür ol boyunca yaz dönem hizmet ver bir programmımız program yurt dış rağbet gör inan yolcu istanbul üzeri dünya çeşit nokta taşı istanbul güzel tanış açı turizm ciddi bir katkı sun istanbul türkiye güzel aktar yap yolcu tanı istanbul türkiye tanıtım katkı sağla inan dünya ücret ol tur yemek müze gir ücret ver başka bir havayolu yok tarz bir program ücret ol gerçek dünya başka bir örnek bulun ifade et yor baş topkapı saray ol üzere sultanahmet cami ayasofya müze bilim teknoloji müze türkislam eser müze dolmabahçe saray kültürel zengin gör tamamen ücret bir program yolcu hizmet tur yemek hizmet herhangi bir bedel öde hava yoları tamamen bu yolcu ücret ol ikram et bildiğimiiz kadar dünya ücret ol tur yemek hizmet müze gir ücret ver başka bir havayolu yok ifade kullan hedef bin yolcu ulaş touristanbulun yıl hedef ilişkin bilgi ver yor hedef yaklaşık bin yolcu hizmet faydalan iste taşı transit yolcu sayı yan sayı küçük görün birlikte etki fazla ol inan bura biz saat dilim gez yolcu ülke dön sonra tatil amaç diğer seyahat tekrar istanbul üzeri niyetlen kendi biz ilet saat bekle süre var ben insan fayda bir proje isviçre rusya git üzere aktar ol istanbul gel rus yolcu evgeny fredynski cenevre istanbul aktar ol moskovayaya git istanbul illk gelişim değil bura gel güzel zaman geç ancak sefer özel ol tur operatör mükemmel anlatım boğaz güzel gez bir sefer aile getir touristanbul fikir beğen havalimanı saat bekle süre var öğle saat karaburun git şimdi buradaistanbul boğaz keyif an geç ben insan fayda bir proje değer bulun boğaz tur gerçekten etkile ol boğaz tur kat ol çinli yolcu danyang afrika çalış yap yolcu kamerun istanbul aktar ol vietnam seyahat et yap ilk seyahat değil iki uç ara zaman değer tur faydalan program gerçekten beğen boğaz tur gerçekten etkile ol herkes dünya merkez türkiye istanbul gör iste isveç aktar ol mısır git sudan yolcu dahir guled istanbul boğaz gez heyecan ver ol ifade et kahire git havalimanı hotel deskte ben böyle bir program ol söyle önce internet site gör ben güzel bir program herkes dünya merkez türkiye istanbul gör ister yıl ülke dünya dört bir yan sayı insan gel aynı zaman istanbul dünya büyük havalimanı sahip türkiye tarih islam tarih gör güzel istanbul transit yolcu ol kullan turist ol gez fırsat yakala şekil konuş başla tekne boğaz tur uygula kadar yaz sezon boyunca devam et,0.0
5,2019-05-06,ulaş altyapı bakan cahit turhan boğaziçi üniversite dernek girişim iga destek düzenle istanbul havalimanı ekonomi gelecek fırsat panel kat bakan turhan konuş istanbul havalimanı kargo eticaretin merkez üs ol boğaziçi üniversite dernek girişim iga destek düzenle panel ulaş altyapı bakan cahit turhan iga havalimanı işle icra kurul başkan genel müdür kadri samsun genel müdür yardımcı abdulkerim çay yan sıra sayı öğrenci katıl istanbul havalimanı ekonomi gelecek fırsat panel konuş ulaş altyapı bakan turhan yıl itibaren yürü hava ulaşım politika faaliyet dünya hız gelişim göster ülke hal gel bugün ülke özellikle istanbul dünya büyük küresel transit merkez hal gel neden bugün kadar yap havacılık yatırım milyar bul yeni havalimanı yap at havalimanı yeniden sivil havacılık sektör kazan yüksek kapasite modern terminal inşa et yer bilgi iletişim teknoloji donat yap devam et konuş hedef milyon yolcu hedefle yolcu sayı milyon ol vurgula bakan turhan havacılık alan dünya ortalama kat yakın büyü kaydet milyon ol yolcu sayı milyon ulaş kapasite hedef milyon yolcu sayı avrupa ün dünya un sıra yüksel taşın yük miktar milyon ton yaklaş sektör istihdam et kişi sayı bin bul sektör ciro kat artır milyar çık elbette yap iş var pazar fazla pay al ad orta uzun vade hedef gerçek güç çalış iş faz tamamla milyoon yolcu kapasite dünya büyük havalimanı ol istanbul havalimanı bu somut adım ol aç yap istanbul havalimanı bugün kadar yaklaşık milyon yolcu bin uçak trafik gerçek konuş istanbul havalimanı kargo eticaretin merkez üs ol tunus türkiye ara dünya posta birlik upu ecomafrika proje kapsam imzala anlaşma ilişkin konuş bakan turhan istanbul eticaretin merkez kur amaç anlaşma imzala arka kenya fildişi cumhuriyet güney afrika somali gel diğer afrika ülke sıra gir eticaretle ürün dünya pazarla iste ülke eticaretin yeni merkez ol istanbul havalimanı yer iste ptt amazon alibaba global bir şirket ol yol ilerle istanbul havalimanı kargo eticaretin merkez üs ol şekil konuş iga genel müdür samsun istanbbul havalimanı proje türkiye özgüven kazan iga havalimanı işle icra kurul başkan genel müdür kadri samsun istanbul havalimanı büyü iyi hizmet sağla gerek söyle havayolu havalimanı ara birlik önem dikkat çek samsun istanbul havalimanı uzun yıl önce kon bir hedef git yap bir yatırım ol kaydet türkiye dünya hava büyük yatırım ihtiyaç ol düşün böyle bir yatırım hayat geçir aktar dünya ekonomi hız katkı sun yatırım biri havalimanı ol alt çiz samsun istanbul havalimanı proje türkiye gerçekten özgüven kazan düşün şekil konuş genel müdür yardımcı çay hedef yıl milyon yolcu panel konuş genel müdür yardımcı abdulkerim çay havacılık sektör yüzde büyü milyar yolcu sayı ulaş belir bbaktığımızda milyon yolcu taşı sene hedef yaklaşık milyon yolcu konuş yan sıra havalimanı dünya diğer ülke büyük havayolu şirket gelecek operasyon artır vurgula çay durum rekabet güç kabiliyet art kaydet zaman iyi ol hedefle aktar çay ol zaman şey iyi ol hedef var şey iyi ol hedef çalış havalimanı açı yine aynı şekil iyi ol durum ifade kullan,0.0
6,2019-04-12,ortaklık dönem ilişkin trafik sonuç aşağı gibi dönem milyon ol toplam yolcu sayı yıl aynı dönem azal milyon ol gerçek yolcu sayı hat azal dış hat art yolcu dolu oran dönem puan azal ol gerçek aynı dönem hat sefer dolu oran puan art göster ücretli yolcu üyk dönem milyar iken yıl aynı dönem azal milyar ol gerçek üyk hat uç azal dış hat uç art dıştan dış transfer yolcu sayı dönem kıyas oran bir art gerçek dıştan dış transfer hariç dış hat yolcu sayı dönem kıyas oran bir art gerçek taşınan kargoposta dönem ton iken yıl aynı dönem art ton yüksel dönem bölgesel sonuç bak ücret yolcu üyk orta doğu avrupa afrika yolcu dolu oran hat puan yolcu sayı orta doğu avrupa uzak doğu art göster ortaklık ocakmart dönem ilişkin trafik sonuç aşağı gibi ocakmart dönem milyon ol toplam yolcu sayı yıl aynı dönem azal milyon ol gerçek yolcu sayı hat bir azal dış hat bir art kaydet dıştan dış transfer yolcu sayı  dönem kıyas art gerçek dıştan dış transfer hariç dış hat yolcu sayı ocakmart dönem kıyas art gerçek yolcu dolu oran puan azal olarakk gerçek toplam arz et koltuk akk  dönem milyar iken yıl aynı dönem art milyar ol gerçek akk hat uç azal dış hat uç art ücretli yolcu üyk  dönem milyar iken yıl aynı dönem art milyar ol gerçek üyk hat uç azal dış hat uç oran art yolcu uçak kon sayı  dönem iken yıl aynı dönem azal ol gerçek taşınan kargoposta ocakmart dönem ton iken yıl aynı dönem art ton yüksel ay sonunda uçak sayı iken ay sonunda ol geniş gövde yolcu uçak sayı azal dar gövde yolcu uçak sayı yüksel kargo uçak sayı yüksel,0.0
7,2019-04-12,ortaklık dönem ilişkin trafik sonuç aşağı gibi dönem milyon ol toplam yolcu sayı yıl aynı dönem azal milyon ol gerçek yolcu sayı hat azal dış hat artmıştıryolcu dolu oran dönem puan azal ol gerçek aynı dönem hat sefer dolu oran puan art göstermiştirücretli yolcu üyk dönem milyar iken yıl aynı dönem azal milyar ol gerçek üyk hat uç azal dış hat uç artmıştırdıştan dış transfer yolcu sayı dönem kıyas oran bir art gerçekleşmiştirdıştan dış transfer hariç dış hat yolcu sayı dönem kıyas oran bir art gerçekleşmiştirtaşınan kargoposta dönem ton iken yıl aynı dönem art ton yükselmiştir dönem bölgesel sonuç bak ücret yolcu üyk orta doğu avrupa afrika oyolcu dolu oran hat puan oyolcu sayı orta doğu avrupa uzak doğu art göster ortaklık ocakmart dönem ilişkin trafik sonuç aşağı gibi ocakmart dönem milyon ol toplam yolcu sayı yıl aynı dönem azal milyon ol gerçek yolcu sayı hat lik bir azal dış hat lik bir art kaydet dıştan dış transfer yolcu sayı  dönem kıyas art gerçek dıştan dış transfer hariç dış hat yolcu sayı ocakmart dönem kıyas art gerçekleşmiştiryolcu dolu oran puan azal ol gerçekleşmiştirtoplam arz et koltuk akk  dönem milyar iken yıl aynı dönem art milyar ol gerçek akk hat uç azal dış hat uç artmıştırücretli yolcu üyk  dönem milyar iken yıl aynı dönem art milyar ol gerçek üyk hat uç azal dış hat uç oran artmıştıryolcu uçak kon sayı  dönem iken yıl aynı dönem azal ol gerçekleşmiştirtaşınan kargoposta ocakmart dönem ton iken yıl aynı dönem art ton yükselmiştir ay sonunda uçak sayı iken ay sonunda ol geniş gövde yolcu uçak sayı dan azal dar gövde yolcu uçak sayı yüksel kargo uçak sayı yüksel,0.0
8,2019-04-05,devlet hava meydan işle dhmi genel müdür yıl ay ilişkin havayolu uçak yolcu yük istatistik açıkla bu göre yıl ay havalimanı inişkalkış yap uçak trafik hat dış hat ol aynı ay üst geç overflight trafik ol gerçek böylece hava yol hizmet ver toplam uçak trafik üst geç birlikte ulaş ay türkiye genel havalimanı hat yolcu trafik dış hat yolcu trafik ol böylece söz konu ay direkt transit yolcu birlikte toplam yolcu trafik ol gerçek havalimanı yük kargo posta bagaj trafik ay itibar hat ton dış hat ton toplam ton ulaş son ticari uçak nisa saat kalk atatürk havalimanı ay uçak yolcu hizmet ver istanbul havalimanı ay uçak yolcu trafik gerçek yıl aylık gerçek son itibari havalimanı inişkalkış yap uçak trafik hat dış hat ol aynı dönem üst geç overflight trafik ol gerçek böylece hava yol hizmet ver toplam uçak trafik üst geç birlikte ulaş dönem türkiye genel havalimanı hat yolcu trafik dış hat yolcu trafik ol böylece söz konu dönem direkt transit yolcu birlikte toplam yolcu trafik ol gerçek havalimanı yük kargo posta bagaj trafik hat ton dış hat ton toplam ton ulaş,0.0
9,2019-04-05,havacılık tarih büyük taşın ol büyük göç ol ad istanbul havalimanı taşı süreç resmen başla atatürk havalimanı uçak yeni yuva git üzere boş ol havalan binlerce parça malzeme yükle tirlar itibari kara yol çık cumhurbaşkanı tayyip erdoğan taraf resim aç gerçek sonra tarife uç başla istanbul havalimanı büyük göç ol ad taşı işlem resim ol başla ayar sür planla aşama sonra dünya havacılık tarih geç taşı sabah karşı saat itibari start al atatürk havalimanı binlerce parça malzeme yükle ilk tirlara yol çıkar hava yolcu uçak istanbul havalimanı git üzere sıra havalan devasa operasyon saat sür küresel havacılık tarih yer al taşı operasyon toplam saat sür nisa cumartesi gece saat tamamla büyük göç planla şekil başarı gerçek nisa sabah saat ara atatürk havalimanı istanbul havalimanı tarife yolcu uç kapa atatürk havalimanınından son uç singapur atatürk havalimanı yolcu havalan son uçak singapur sefer gerçek ait boeing tip uçak saat son atatürk havalimanı havalan taşı sonra operasyon nisa gün saat istanbul havalimanı başla büyük göç sonra gerçek ilk uç istanbulankara seferi ol istanbul havalimanı icra et uç belirli bir plan kademe ol artır bin tirlık yük taşı taşı işlem sırasında atatürk havalimanı istanbul havalimanı yaklaşık bin ton ağırlık malzeme taşı ton ağırlık uçak çek aparat hassas alet kadar bin parça fazla malzeme oluş yyük bin tır hacim malzeme değer yük taşı tır saat kat et mesafe bin kilometre ol hesapla tirlar dünya çevre dön değer bir yol kat et büyük operasyon bin fazla çalış görev al,0.0
10,2019-03-18,hacumre kudüs sektör yıllık tecrübe turizm camia kurum acente toprak turizm hac umre seyahat fazla yolcu taşı özel turizm acente kategori başarı ödül ver toprak turizm başarı ödül cidde müdür tarafından takdim et düzenle toplantı yurtiçi sat başkan menevşe ortadoğukıbrıs diğer yetkili katıl toprak turizm genel müdür yardımcı toprak den ödül al duy söyle iste hacumrenin yan baş kudüs balkan ol üzere italya ispanyaendülüs fas dubai özbekistan iran azerbaycan destinasyon sezon yurtdışı tur kişi civar katılım ol tur yüzde gerçek önem bir partner ol bir vurgula iste müsiad üye bir firma ol minval milli bir dünya marka ol kalite hizmet anlayış teşekkür et işbirliği artır fazla çalış belir iste konuş,1.0
11,2019-03-18,star gazete internet site yayınla haber göre yönetim kurul başkan ay yıl bin kişi iş al söyle cnn konuş ay civar yeni kaptan al kabin ekip ol kişi iş al yıl bin aş istihdam planla bin kişilik aile bin kişi çık  sat ilişkin iddia cevap ver ay yüzde bist halk açık yüzde blok hisse türkiye varlık fon ait seçim dönem alın sat sosyal medya yay böyle bir görüşme var böyle bir konu var sözkonusu haber aşağı link ulaş,1.0
